record_id,id,scientific_name,year,start_month,end_month,can_first_month,can_full_season,lon,lat
113,10Casey2011,Bartramia_longicauda,2006,5,6,1,1,-96.58,39.08
114,10Casey2011,Bartramia_longicauda,2007,5,6,1,1,-96.58,39.08
115,209Moore2012,Branta_canadensis,2000,3,6,1,1,-84,43
116,209Moore2012,Branta_canadensis,2001,3,6,1,1,-84,43
117,209Moore2012,Branta_canadensis,2002,3,6,1,1,-84,43
118,254Larsson1995,Branta_leucopsis,1989,5,7,1,1,18.75,57.28
119,254Larsson1995,Branta_leucopsis,1990,5,7,1,1,18.75,57.28
120,254Larsson1995,Branta_leucopsis,1991,5,7,1,1,18.75,57.28
121,229Reneerkens2014,Calidris_alba,2003,5,7,1,1,-21,74.5
122,229Reneerkens2014,Calidris_alba,2007,5,7,1,1,-21,74.5
123,229Reneerkens2014,Calidris_alba,2008,5,7,1,1,-21,74.5
124,229Reneerkens2014,Calidris_alba,2009,5,7,1,1,-21,74.5
125,229Reneerkens2014,Calidris_alba,2010,5,7,1,1,-21,74.5
126,229Reneerkens2014,Calidris_alba,2011,5,7,1,1,-21,74.5
127,213Bried2010,Calonectris_diomedea,2002,3,10,1,1,-25.17,36.92
128,213Bried2010,Calonectris_diomedea,2003,3,10,1,1,-25.17,36.92
129,212Bonlokke-Pedersen2002,Carduelis_cannabina,1998,4,8,1,1,10.83,56.5
130,212Bonlokke-Pedersen2002,Carduelis_cannabina,1999,4,8,1,1,10.83,56.5
131,479Zharikov2000,Charadrius_semipalmatus,1996,6,7,1,1,-95.07,58.75
132,479Zharikov2000,Charadrius_semipalmatus,1997,6,7,1,1,-95.07,58.75
133,34Sánchez-Tójar2015,Coracias_garrulus,2007,5,7,1,1,-3.18,37.3
134,34Sánchez-Tójar2015,Coracias_garrulus,2008,5,7,1,1,-3.18,37.3
135,34Sánchez-Tójar2015,Coracias_garrulus,2009,5,7,1,1,-3.18,37.3
136,34Sánchez-Tójar2015,Coracias_garrulus,2010,5,7,1,1,-3.18,37.3
137,34Sánchez-Tójar2015,Coracias_garrulus,2011,5,7,1,1,-3.18,37.3
138,260Overeem2014,Cyanocitta_stelleri,2006,3,8,1,1,-124,40.98
139,260Overeem2014,Cyanocitta_stelleri,2007,3,8,1,1,-124,40.98
140,260Overeem2014,Cyanocitta_stelleri,2008,3,8,1,1,-124,40.98
141,218Masello2002,Cyanoliseus_patagonus,1998,10,2,1,1,-62.8,-41.05
142,218Masello2002,Cyanoliseus_patagonus,1999,10,2,1,1,-62.8,-41.05
143,249Kraaijeveld2004,Cygnus_atratus,1999,7,11,1,1,14.82,-37.55
144,249Kraaijeveld2004,Cygnus_atratus,2000,7,11,1,1,14.82,-37.55
145,249Kraaijeveld2004,Cygnus_atratus,2001,7,11,1,1,14.82,-37.55
146,325Webster2001,Dendroica_caerulescens,1995,5,8,1,1,-71.75,43.93
147,325Webster2001,Dendroica_caerulescens,1996,5,8,1,1,-71.75,43.93
148,325Webster2001,Dendroica_caerulescens,1997,5,8,1,1,-71.75,43.93
149,325Webster2001,Dendroica_caerulescens,1998,5,8,1,1,-71.75,43.93
150,180Chuang1999,Dendroica_caerulescens,1995,5,8,1,1,-71.75,43.93
151,180Chuang1999,Dendroica_caerulescens,1996,5,8,1,1,-71.75,43.93
152,447Burg2006,Diomedea_exulans,1998,12,5,1,1,-38,-54
153,447Burg2006,Diomedea_exulans,1999,12,5,1,1,-38,-54
154,302 Jones2012,Diomedea_exulans,2007,11,10,1,1,37.68,-46.87
155,302 Jones2012,Diomedea_exulans,2008,11,10,1,1,37.68,-46.87
156,302 Jones2012,Diomedea_exulans,2009,11,10,1,1,37.68,-46.87
157,441Ryder2012,Dumetella_carolinensis,2008,5,8,1,1,-76,39
158,441Ryder2012,Dumetella_carolinensis,2009,5,8,1,1,-76,39
159,255Bouwman2006,Emberiza_schoeniclus,2002,2,7,1,1,4.75,51.75
160,255Bouwman2006,Emberiza_schoeniclus,2003,2,7,1,1,4.75,51.75
161,88Mayer2013,Emberiza_schoeniclus,2002,3,8,1,1,8,47
162,88Mayer2013,Emberiza_schoeniclus,2003,3,8,1,1,8,47
163,88Mayer2013,Emberiza_schoeniclus,2004,3,8,1,1,8,47
164,88Mayer2013,Emberiza_schoeniclus,2005,3,8,1,1,8,47
165,450Pearson2006,Empidonax_traillii,1997,5,8,1,1,-118.03,35.65
166,450Pearson2006,Empidonax_traillii,1998,5,8,1,1,-118.03,35.65
167,450Pearson2006,Empidonax_traillii,1999,5,8,1,1,-118.03,35.65
168,450Pearson2006,Empidonax_traillii,2000,5,8,1,1,-118.03,35.65
169,450Pearson2006,Empidonax_traillii,2001,5,8,1,1,-118.03,35.65
170,450Pearson2006,Empidonax_traillii,2002,5,8,1,1,-118.03,35.65
171,42Woolfenden2005,Empidonax_virescens,1997,5,7,1,1,-79.93,41.77
172,42Woolfenden2005,Empidonax_virescens,2000,5,7,1,1,-79.93,41.77
173,42Woolfenden2005,Empidonax_virescens,2001,5,7,1,1,-79.93,41.77
174,42Woolfenden2005,Empidonax_virescens,2002,5,7,1,1,-79.93,41.77
175,353Bolton2017,Erythrura_gouldiae,2008,2,8,1,1,128,-15.57
176,353Bolton2017,Erythrura_gouldiae,2009,2,8,1,1,128,-15.57
177,150Korpimäki1996,Falco_tinnunculus,1990,4,7,1,1,22.83,62.98
178,150Korpimäki1996,Falco_tinnunculus,1991,4,7,1,1,22.83,62.98
179,150Korpimäki1996,Falco_tinnunculus,1992,4,7,1,1,22.83,62.98
180,457Wilk2008,Ficedula_albicollis,2003,4,6,1,1,20.4,50.1
181,457Wilk2008,Ficedula_albicollis,2004,4,7,1,1,20.4,50.1
182,457Wilk2008,Ficedula_albicollis,2005,4,7,1,1,20.4,50.1
183,457Wilk2008,Ficedula_albicollis,2006,4,7,1,1,20.4,50.1
184,446Lubjuhn2000,Ficedula_hypoleuca,1993,4,6,1,1,7.25,52.45
185,446Lubjuhn2000,Ficedula_hypoleuca,1995,4,6,1,1,7.25,52.45
186,446Lubjuhn2000,Ficedula_hypoleuca,1996,4,6,1,1,7.25,52.45
187,117Canal2012,Ficedula_hypoleuca,2005,4,6,1,1,-3.45,41.07
188,117Canal2012,Ficedula_hypoleuca,2006,4,6,1,1,-3.45,41.07
189,363Lehtonen2009,Ficedula_hypoleuca,2005,5,7,1,1,22.17,60.42
190,363Lehtonen2009,Ficedula_hypoleuca,2006,5,7,1,1,22.17,60.42
191,373Grant2011,Geospiza_fortis,1987,1,4,1,1,-90.37,-0.42
192,373Grant2011,Geospiza_fortis,1991,1,4,1,1,-90.37,-0.42
193,72Eikenaar2011,Hirundo_rustica,2009,4,8,1,1,-80.42,37.22
194,72Eikenaar2011,Hirundo_rustica,2010,4,8,1,1,-80.42,37.22
195,305Hasegawa2010,Hirundo_rustica,2005,4,8,1,1,138.02,37.12
196,305Hasegawa2010,Hirundo_rustica,2006,4,8,1,1,138.02,37.12
197,472 Kojima2009,Hirundo_rustica,2006,4,8,1,1,139.88,35.22
198,472 Kojima2009,Hirundo_rustica,2007,4,8,1,1,139.88,35.22
199,315Evans2008,Hylocichla_mustelina,2002,5,7,1,1,-79.93,41.77
200,315Evans2008,Hylocichla_mustelina,2003,5,7,1,1,-79.93,41.77
201,315Evans2008,Hylocichla_mustelina,2004,5,7,1,1,-79.93,41.77
202,138Richardson1999,Icterus_galbula,1994,3,6,1,1,-121.55,36.37
203,138Richardson1999,Icterus_galbula,1995,3,6,1,1,-121.55,36.37
204,330Wink2011,Jynx_torquilla,2003,5,7,1,1,11,51.9
205,330Wink2011,Jynx_torquilla,2004,5,7,1,1,11,51.9
206,330Wink2011,Jynx_torquilla,2005,5,7,1,1,11,51.9
207,228Freeland1995,Lagopus_lagopus,1987,6,7,1,1,-136.33,59.83
208,228Freeland1995,Lagopus_lagopus,1988,6,7,1,1,-136.33,59.83
209,228Freeland1995,Lagopus_lagopus,1989,6,7,1,1,-136.33,59.83
210,228Freeland1995,Lagopus_lagopus,1992,6,7,1,1,-136.33,59.83
211,136Benson2002,Lagopus_leucura,1996,5,9,1,1,-113.72,48.68
212,136Benson2002,Lagopus_leucura,1997,5,9,1,1,-113.72,48.68
213,136Benson2002,Lagopus_leucura,1998,5,9,1,1,-113.72,48.68
214,225Neto2010,Locustella_luscinioides,2002,3,7,1,1,-8.68,40.63
215,225Neto2010,Locustella_luscinioides,2003,3,7,1,1,-8.68,40.63
216,225Neto2010,Locustella_luscinioides,2005,3,7,1,1,-8.68,40.63
217,225Neto2010,Locustella_luscinioides,2006,3,7,1,1,-8.68,40.63
218,225Neto2010,Locustella_luscinioides,2007,3,7,1,1,-8.68,40.63
219,225Neto2010,Locustella_luscinioides,2008,3,7,1,1,-8.68,40.63
220,17Johnsen2003,Luscinia_svecica,1991,5,7,1,1,8.87,62.42
221,17Johnsen2003,Luscinia_svecica,1992,5,7,1,1,8.87,62.42
222,17Johnsen2003,Luscinia_svecica,1993,5,7,1,1,8.87,62.42
223,17Johnsen2003,Luscinia_svecica,1994,5,7,1,1,8.87,62.42
224,17Johnsen2003,Luscinia_svecica,1995,5,7,1,1,8.87,62.42
225,17Johnsen2003,Luscinia_svecica,1996,5,7,1,1,8.87,62.42
226,17Johnsen2003,Luscinia_svecica,1997,5,7,1,1,8.87,62.42
227,17Johnsen2003,Luscinia_svecica,1998,5,7,1,1,8.87,62.42
228,17Johnsen2003,Luscinia_svecica,1999,5,7,1,1,8.87,62.42
229,17Johnsen2003,Luscinia_svecica,2000,5,7,1,1,8.87,62.42
230,351Brekke2013,Notiomystis_cincta,2004,9,2,1,1,174.88,-36.6
231,351Brekke2013,Notiomystis_cincta,2005,9,2,1,1,174.88,-36.6
232,351Brekke2013,Notiomystis_cincta,2006,9,2,1,1,174.88,-36.6
233,351Brekke2013,Notiomystis_cincta,2007,9,2,1,1,174.88,-36.6
234,351Brekke2013,Notiomystis_cincta,2008,9,2,1,1,174.88,-36.6
235,351Brekke2013,Notiomystis_cincta,2009,9,2,1,1,174.88,-36.6
236,351Brekke2013,Notiomystis_cincta,2010,9,2,1,1,174.88,-36.6
237,131Kudernatsch2010,Oenanthe_oenanthe,2005,4,9,1,1,8.17,49.5
238,131Kudernatsch2010,Oenanthe_oenanthe,2006,4,9,1,1,8.17,49.5
239,239Lee2009,Paradoxornis_webbianus,2005,4,8,1,1,127.03,37.53
240,239Lee2009,Paradoxornis_webbianus,2006,4,8,1,1,127.03,37.53
241,463Dietrich2004,Parus_ater,2000,4,7,1,1,7.25,52.45
242,463Dietrich2004,Parus_ater,2001,4,7,1,1,7.25,52.45
243,463Dietrich2004,Parus_ater,2002,4,7,1,1,7.25,52.45
244,4Charmantier2003,Parus_caeruleus,2000,5,7,1,1,8.77,42.52
245,4Charmantier2003,Parus_caeruleus,2001,5,7,1,1,8.77,42.52
246,4Charmantier2003,Parus_caeruleus,2000,4,6,1,1,3.67,43.66
247,4Charmantier2003,Parus_caeruleus,2001,4,6,1,1,3.67,43.66
