"epp_row_id","latitude","longitude","year","first_month"
"241","52.45","7.25","2000","4"
"242","52.45","7.25","2001","4"
"243","52.45","7.25","2002","4"
"244","42.52","8.77","2000","5"
"245","42.52","8.77","2001","5"
"246","43.66","3.67","2000","4"
"247","43.66","3.67","2001","4"
"248","51.25","4.47","1990","3"
"249","51.25","4.47","1991","3"
"250","51.25","4.47","1992","3"
"251","51.25","4.47","1993","3"
"252","58.87","9.6","1992","4"
"253","58.87","9.6","1993","4"
"254","58.87","9.6","1994","4"
"257","58.87","9.6","1992","4"
"258","58.87","9.6","1993","4"
"259","58.87","9.6","1994","4"
"260","58.87","9.6","1995","4"
"261","51.42","7.65","1993","3"
"262","51.42","7.65","1994","3"
"263","42.67","141.6","2009","5"
"264","42.67","141.6","2010","5"
"265","40.02","122.93","2009","3"
"266","40.02","122.93","2010","3"
"267","40.02","122.93","2011","3"
"268","47.33","-2.87","2009","4"
"269","47.33","-2.87","2010","4"
"270","47.33","-2.87","2011","4"
"271","51","-4","1995","4"
"272","51","-4","1996","4"
"273","35.7","-83.2","1995","3"
"274","35.7","-83.2","1996","3"
"275","-54.73","-68.2","2006","10"
"276","-54.73","-68.2","2007","10"
"277","-54.73","-68.2","2008","10"
"278","-54.73","-68.2","2009","10"
"279","-31.08","142.7","2005","8"
"280","-31.08","142.7","2006","8"
"281","-31.08","142.7","2007","8"
"282","-54","-38","1998","10"
"283","-54","-38","1999","10"
"284","-54","-38","1998","10"
"285","-54","-38","1999","10"
"286","10.67","-85.5","2002","4"
"287","10.67","-85.5","2003","4"
"288","10.67","-85.5","2004","4"
"289","10.67","-85.5","2005","4"
"290","9.12","-79.7","1994","1"
"291","9.12","-79.7","1995","1"
"292","34.77","-98.48","2008","4"
"293","34.77","-98.48","2009","4"
"294","34.77","-98.48","2010","4"
"295","34.77","-98.48","2011","4"
"296","43","-119","2002","5"
"297","43","-119","2003","5"
"298","43","-119","2004","5"
"299","-15.93","-47.93","2008","10"
"300","-15.93","-47.93","2009","10"
"301","-15.93","-47.93","2010","10"
"302","38.57","-119.03","1997","5"
"303","38.57","-119.03","1998","5"
"304","38.57","-119.03","1999","5"
"305","43.16","-124.41","2005","3"
"306","43.16","-124.41","2006","3"
"307","43.16","-124.41","2007","3"
"308","53.33","22.67","1993","5"
"309","53.33","22.67","1994","5"
"310","53.33","22.67","1997","5"
"311","47.17","-94.42","1990","5"
"312","47.17","-94.42","1991","5"
"313","31.92","-109.25","1991","3"
"314","31.92","-109.25","1992","3"
"315","31.92","-109.25","1993","3"
"316","31.92","-109.25","1994","3"
"317","31.92","-109.25","1995","3"
"318","31.92","-109.25","1996","3"
"319","49.4","-110.7","1999","3"
"320","49.4","-110.7","2000","3"
"321","49.4","-110.7","2001","3"
"322","49.4","-110.7","2002","3"
"323","49.4","-110.7","2003","3"
"324","49.4","-110.7","2004","3"
"325","49.4","-110.7","2005","3"
"326","49.4","-110.7","2006","3"
"327","8.2","-82.2","2000","3"
"328","8.2","-82.2","2001","3"
"329","8.2","-82.2","2002","3"
"330","8.2","-82.2","2003","3"
"331","8.2","-82.2","2004","3"
"332","8.2","-82.2","2005","3"
"333","8.2","-82.2","2006","3"
"334","-31.9","115.98","1996","7"
"335","-31.9","115.98","1997","7"
"336","-31.9","115.98","1998","7"
"337","-17.37","125.75","1998","10"
"338","-17.37","125.75","1999","10"
"339","-17.37","125.75","2000","10"
"340","-17.37","125.75","2003","10"
"341","-17.37","125.75","2004","10"
"342","-17.37","125.75","2005","10"
"343","-17.37","125.75","2006","10"
"344","-17.37","125.75","2007","10"
"345","-34.33","139.03","1992","10"
"346","-34.33","139.03","1993","10"
"347","-34.33","139.03","1995","10"
"348","-34.33","139.03","1996","10"
"349","-34.33","139.03","1997","10"
"350","-34.33","139.03","1998","10"
"351","-27.33","152.55","1992","7"
"352","-27.33","152.55","1993","7"
"353","60.83","25.33","1987","5"
"354","60.83","25.33","1989","5"
"355","60.83","25.33","1990","5"
"356","35.88","-106.03","2010","5"
"357","35.88","-106.03","2011","5"
"358","35.88","-106.03","2012","5"
"359","70.2","-148.25","1993","6"
"360","70.2","-148.25","1994","6"
"361","-34.35","139.5","1992","10"
"362","-34.35","139.5","1993","10"
"363","-34.35","139.5","1995","10"
"364","-34.35","139.5","1996","10"
"365","-34.35","139.5","1997","10"
"366","-34.35","139.5","1998","10"
"367","-0.37","36.08","1982","10"
"368","-0.37","36.08","1983","10"
"369","-0.37","36.08","1984","10"
"370","36.71","-112.22","1991","4"
"371","36.71","-112.22","1992","4"
"372","36.71","-112.22","1993","4"
