population_id,n_records,n_references,id_references
Prinia_flaviventris_23.65_107.07,1,1,512Ding2021
Pygoscelis_adeliae_-74.35_165.13,1,1,28Pilastro2001
Pygoscelis_antarcticus_-63_-60.67,1,1,244Moreno2000
Quelea_quelea_-21.08_31.92,1,1,298Dallimer2007
Rallus_aquaticus_46.91_23.91,2,1,673Stermin2026
Remiz_coronatus_42.42_70.48,1,1,7Ball 2017
Rhipidura_fuliginosa_-35.45_149.28,3,1,228Hoffman2010
Riparia_riparia_48.3_21.08,1,1,211Augustin2007
Setophaga_ruticilla_41.77_-79.93,2,1,360Kappes2009
Setophaga_ruticilla_45.07_-67.03,3,1,428Perreault1997
Sialia_mexicana_35.88_-106.03,3,1,2Jacobs2015
Sicalis_flaveola_pelzelni_-35.57_-58.02,3,1,570Benitez2019
Spheniscus_humboldti_-15.37_-75.2,1,1,310Schwartz1999
Spheniscus_magellanicus_-47.75_-65.88,2,1,616Marasco2020
Steganopus_tricolor_51.45_-105.17,1,1,127Dlehanty1998
Sterna_hirundo_53.52_8.08,1,1,223Gonzalez-Solis2001
Stipiturus_malachurus_-38.38_141.6,3,1,175Maguire2008
Strix_aluco_46_6,1,1,467Saladin2007
Sturnus_unicolor_40.5_-4,2,1,358Cordero2003
Sturnus_unicolor_40.75_-3.78,2,1,645Celis2012
Sturnus_vulgaris_44.62_-63.57,4,1,489Barber2025
Sturnus_vulgaris_46.52_6.57,2,1,22Loyau2005
Sturnus_vulgaris_51.22_4.67,2,1,390Pinxten1993
Sula_granti_-1.33_-89.67,1,1,126Anderson2006
Sula_nebouxii_21.87_-105.9,1,1,12Ramos2014
Sula_sula_-1.33_-89.67,1,1,352Baião2009
Tachycineta_albilinea_9.17_-79.85,1,1,347Moore1999
Tachycineta_albilinea_NA_NA,1,1,654Ferretti2019
Tachycineta_bicolor_44.57_-76.32,2,2,243Delmore2008; 58Barber1998
Tachycineta_bicolor_44.58_-66.77,1,1,244Conrad2001
Tachycineta_bicolor_44.7_-76.2,4,1,59Barber1996
Tachycineta_bicolor_45_-74,4,1,21Lessard2014
Tachycineta_bicolor_53_-123,1,1,375Bitton2007
Tachycineta_meyeni_-54.73_-68.2,2,1,464Ferretti2016
