Study_ID,level,Scientific_name,Common_name,Breeding_system,N_offspring_sampled,EPY_percent,N_broods_sampled,EPP_percent,Lat,Long,nest_box,marker_type,year_of_study_START,year_of_study_END,study_duration,breeding_start,breeding_end,yearly_data,No,Scientific_name_amended,Jetz_name,Clements_name,BIRDBASE_clements_names,fam_sys_known,fam_sys_inferred,breedsys_known,breedsys_inferred,breedsys_cat,breedsys_cat1,breedsys_cat2,Female.MinMass,Female.MaxMass,,Male.MinMass,Male.MaxMass,Average.Mass,Social_1,Social_2,Social_3,Social_4,Social_5,Social_6,Mono,Poly,mono_poly_model,BS_Birdbase,Coop,Nest_type,CS_min,CS_max,cooperative_breeding,max_pa,match_source,MG_comments,Sexual selection,Data certainty,Sex-role_reversal,Territoriality,Migration,Lat_round,Long_round,population_id,breeding_system_cat,nest_type_model,breeding_system_3cat,breeding_system_model,marker_type_model,study_duration_num,nest_box_model,population_id_source,n_mixed_broods,n_non_mixed_broods,n_EPY_offspring,n_WPY_offspring,parental_care_model,parental_care_binary
237Hutchinson2007,total,Alauda_arvensis,skylark,monogamy,171,20.5,52,26.9,51.17,-4.63,no,microsatellite,1997,2000,4,April,July,yes,12,Alauda_arvensis,Alauda_arvensis,Alauda_arvensis,Alauda_arvensis,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,17,47,,28,51,36.71666667,0,1,1,1,1,0,Mono,NA,monogamy,Mono,0,SC,1,7,no,0,Clements_name,NA,1,4,0,Territorial,Weak,51.17,-4.63,Alauda_arvensis_51.17_-4.63,monogamy,ground,monogamy,monogamy,microsatellite,4,no,species_coordinates,14,38,35,136,biparental,biparental
233Lifjeld2005,total,Alle_alle,little_auk,monogamy,26,0,26,0,77,15.37,no,microsatellite,2002,2002,1,June,August,single-year study,13,Alle_alle,Alle_alle,Alle_alle,Alle_alle,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,167,NA,,175,NA,170,1,0,0,0,0,0,Mono,NA,monogamy,Mono,0,"BU,CR",1,1,no,0,Clements_name,NA,0,4,0,Non-territorial,Strong,77,15.37,Alle_alle_77_15.37,monogamy,cavity,monogamy,monogamy,microsatellite,1,no,species_coordinates,0,26,0,26,biparental,biparental
266Wojczulanis-Jakubas2009,total,Alle_alle,little_auk,monogamy,62,3.2,64,3.1,77,15.55,no,microsatellite,2004,2006,3,June,July,no,13,Alle_alle,Alle_alle,Alle_alle,Alle_alle,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,167,NA,,175,NA,170,1,0,0,0,0,0,Mono,NA,monogamy,Mono,0,"BU,CR",1,1,no,0,Clements_name,NA,0,4,0,Non-territorial,Strong,77,15.55,Alle_alle_77_15.55,monogamy,cavity,monogamy,monogamy,microsatellite,3,no,species_coordinates,2,62,2,60,biparental,biparental
68Hill2005,total,Ammodramus_maritimus,seaside_sparrow,monogamy,47,10.6,18,16.7,32.77,-79.98,no,microsatellite,2000,2001,2,June,August,no,14,Ammodramus_maritimus,Ammodramus_maritimus,Ammospiza_maritima,Ammospiza_maritima,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,18.9,28.5,,19.1,30.4,24.225,0,0,0,0,0,0,Mono,NA,monogamy,Mono,0,CP,2,5,NA,NA,NA,NA,1,4,0,Territorial,Weak,32.77,-79.98,Ammodramus_maritimus_32.77_-79.98,monogamy,open,monogamy,monogamy,microsatellite,2,no,species_coordinates,3,15,5,42,biparental,biparental
232Kreisinger2010,total,Anas_platyrhynchos,mallard,monogamy,204,9.3,25,48,49.15,14.72,no,microsatellite,2004,2004,1,April,July,single-year study,15,Anas_platyrhynchos,Anas_platyrhynchos,Anas_platyrhynchos,Anas_platyrhynchos,no_fam,no_fam,Female only,Female only,uniparental,uniparental,uniparental,735,1320,,870,1800,1170.833333,0,0,1,0,0,0,Mono,Poly,mixed,MonoPoly,0,"CP,CV,O",4,18,NA,NA,NA,NA,1,4,0,Non-territorial,Weak,49.15,14.72,Anas_platyrhynchos_49.15_14.72,monogamy,cavity,monogamy,monogamy,microsatellite,1,no,species_coordinates,12,13,19,185,uniparental,uniparental
235Peters2003,total,Anas_strepera,gadwalls,monogamy,261,4.2,29,27.6,48.62,-99.08,no,microsatellite,1997,1997,1,May,August,single-year study,16,Anas_strepera,Anas_strepera,Mareca_strepera,Mareca_strepera,no_fam,no_fam,Female only,Female only,uniparental,uniparental,uniparental,550,980,,650,1250,857.5,0,0,1,0,0,0,Mono,NA,monogamy,Mono,0,SC,5,15,NA,NA,NA,NA,1,4,0,Non-territorial,Weak,48.62,-99.08,Anas_strepera_48.62_-99.08,monogamy,ground,monogamy,monogamy,microsatellite,1,no,species_coordinates,8,21,11,250,uniparental,uniparental
189Reyer1997,total,Anthus_spinoletta,water_pipit,monogamy,1052,5.2,258,12.4,46.78,9.85,no,DNA_fingerprinting,1990,1992,3,June,July,no,17,Anthus_spinoletta,Anthus_spinoletta,Anthus_spinoletta,Anthus_spinoletta,NA,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,21.35,0,0,1,1,0,0,Mono,Poly,mixed,MonoPoly,0,CP,4,6,NA,NA,NA,NA,1,4,0,Territorial,Strong,46.78,9.85,Anthus_spinoletta_46.78_9.85,monogamy,open,monogamy,monogamy,DNA_fingerprinting,3,no,species_coordinates,32,226,55,997,biparental,biparental
459Martins2002,total,Apus_apus,common_swift,monogamy,88,4.5,42,9.5,51.75,-1.25,yes,DNA_fingerprinting,1991,1992,2,May,June,no,18,Apus_apus,Apus_apus,Apus_apus,Apus_apus,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,NA,NA,,NA,NA,41.5,1,0,0,0,1,0,Mono,NA,monogamy,Mono,0,CP,1,4,NA,NA,NA,NA,1,3,0,Non-territorial,Strong,51.75,-1.25,Apus_apus_51.75_-1.25,monogamy,open,monogamy,monogamy,DNA_fingerprinting,2,yes,species_coordinates,4,38,4,84,biparental,biparental
210Rudnick2005,total,Aquila_heliaca,eastern_imperial_eagle,monogamy,166,0,86,0,53.48,63.62,no,microsatellite,1999,2002,4,April,August,no,19,Aquila_heliaca,Aquila_heliaca,Aquila_heliaca,Aquila_heliaca,family,family,Pair,Pair,biparental,biparental,biparental,3160,4530,,2450,2720,3215,0,0,0,0,1,0,Mono,NA,monogamy,Mono,0,CP,1,4,NA,NA,NA,NA,0,4,0,Territorial,Strong,53.48,63.62,Aquila_heliaca_53.48_63.62,monogamy,open,monogamy,monogamy,microsatellite,4,no,species_coordinates,0,86,0,166,biparental,biparental
74Miño2011b,total,Egretta_alba,great_egret,monogamy,50,0,25,0,NA,NA,no,microsatellite,2006,2008,3,September,January,no,20,Casmerodius_albus,Casmerodius_albus,Ardea_alba,Ardea_alba,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,812,883.3,,935,1048.3,1013.1,1,0,0,0,0,0,Mono,NA,monogamy,Mono,0,PL,1,6,NA,NA,NA,NA,0,4,0,Non-territorial,Weak,NA,NA,Egretta_alba_74Miño2011b,monogamy,open,monogamy,monogamy,microsatellite,3,no,species_study_id_missing_coordinates,0,25,0,50,biparental,biparental
230Marks1999,total,Asio_otus,long-eared_owl,monogamy,59,0,12,0,46.88,-114.12,no,DNA_fingerprinting,1997,1998,2,March,July,no,21,Asio_otus,Asio_otus,Asio_otus,Asio_otus,no_fam,no_fam,pair,Pair,biparental,biparental,biparental,252,435,,204,305,296.3333333,0,1,1,1,0,0,Mono,NA,monogamy,Mono,0,"CV,O",5,7,NA,NA,NA,NA,0,4,0,Territorial,Weak,46.88,-114.12,Asio_otus_46.88_-114.12,monogamy,cavity,monogamy,monogamy,DNA_fingerprinting,2,no,species_coordinates,0,12,0,59,biparental,biparental
430Rodriguez-Martínez2014,total,Athene_cunicularia,burrowing_owl,monogamy,121,1.7,68,1.5,-38.72,-62.27,no,microsatellite,2006,2012,7,November,February,no,22,Athene_cunicularia,Athene_cunicularia,Athene_cunicularia,Athene_cunicularia,no_fam,no_fam,pair,Pair,biparental,biparental,biparental,149.7,265,,110,285,193.2833333,1,0,0,0,0,0,Mono,Poly,mixed,MonoPoly,0,BU,6,11,NA,NA,NA,NA,1,3,0,Territorial,Weak,-38.72,-62.27,Athene_cunicularia_-38.72_-62.27,monogamy,cavity,monogamy,monogamy,microsatellite,7,no,species_coordinates,1,67,2,119,biparental,biparental
473Müller2001,total,Athene_noctua,little_owl,monogamy,53,0,16,0,51.27,6.37,yes,DNA_fingerprinting,1998,1999,2,March,June,no,23,Athene_noctua,Athene_noctua,Athene_noctua,Athene_noctua,no_fam,no_fam,Pair,Pair,biparental,biparental,biparental,166,206,,162,177,175,0,0,0,0,0,0,Mono,NA,monogamy,Mono,0,"SC,CV",3,6,NA,NA,NA,NA,0,4,0,Territorial,Weak,51.27,6.37,Athene_noctua_51.27_6.37,monogamy,cavity,monogamy,monogamy,DNA_fingerprinting,2,yes,species_coordinates,0,16,0,53,biparental,biparental
162Pravosudova2002,total,Baeolophus_bicolor,tufted_titmouse,monogamy,34,8.8,9,22.2,40,-82.88,yes,DNA_fingerprinting,1995,1998,4,May,June,no,24,Baeolophus_bicolor,Baeolophus_bicolor,Baeolophus_bicolor,Baeolophus_bicolor,coop_families,coop_families,Cooperation,Cooperation,cooperation,cooperation,cooperation,NA,NA,,NA,NA,21.8,0,0,0,1,0,0,Mono,NA,monogamy,Mono,2,CP,5,7,NA,NA,NA,NA,1,4,0,Territorial,Weak,40,-82.88,Baeolophus_bicolor_40_-82.88,monogamy,open,monogamy,monogamy,DNA_fingerprinting,4,yes,species_coordinates,2,7,3,31,NA,NA
