"location_id","lat","long","stored_distance_to_coast_km","reconstructed_distance_to_coast_km","difference_km","absolute_difference_km"
95,-46.87,37.68,3.226429141,3.22642914103503,3.5032421408232e-11,3.5032421408232e-11
96,39,-76,14.33554625,14.3355462502849,2.84874346334618e-10,2.84874346334618e-10
97,51.75,4.75,42.0902395,42.0902394983269,-1.67314340160374e-09,1.67314340160374e-09
98,47,8,292.7246039,292.724603926779,2.67795030595153e-08,2.67795030595153e-08
99,35.65,-118.03,186.6685396,186.668539606301,6.30137719781487e-09,6.30137719781487e-09
100,41.77,-79.93,397.3828512,397.382851248524,4.85236455460836e-08,4.85236455460836e-08
101,-15.57,128,27.7802861,27.7802861041662,4.16619627685577e-09,4.16619627685577e-09
102,62.98,22.83,44.78944728,44.7894472790231,-9.76932312823919e-10,9.76932312823919e-10
103,50.1,20.4,481.3486345,481.348634521694,2.16936655306199e-08,2.16936655306199e-08
104,52.45,7.25,92.61261412,92.6126141159739,-4.02606303850916e-09,4.02606303850916e-09
105,41.07,-3.45,258.0810592,258.08105921095,1.09497477751574e-08,1.09497477751574e-08
106,60.42,22.17,0.757887899,0.757887899419124,4.19123957762224e-10,4.19123957762224e-10
107,-0.42,-90.37,8.89989663,8.89989662955048,-4.49521309064949e-10,4.49521309064949e-10
108,37.22,-80.42,280.6616856,280.661685593007,-6.99253632774344e-09,6.99253632774344e-09
109,37.12,138.02,0.808129099,0.808129099172372,1.72372005557975e-10,1.72372005557975e-10
110,35.22,139.88,2.727764252,2.72776425160957,-3.90431686980719e-10,3.90431686980719e-10
111,36.37,-121.55,24.06489636,24.0648963568643,-3.1357458851744e-09,3.1357458851744e-09
112,51.9,11,201.3802083,201.380208313014,1.30143291698914e-08,1.30143291698914e-08
113,59.83,-136.33,70.96607273,70.9660727349393,4.93935203849105e-09,4.93935203849105e-09
114,48.68,-113.72,633.8565273,633.856527306781,6.78130618325667e-09,6.78130618325667e-09
115,40.63,-8.68,4.936074539,4.93607453861813,-3.81866982479551e-10,3.81866982479551e-10
116,62.42,8.87,49.04659853,49.0465985300131,1.30739863379858e-11,1.30739863379858e-11
117,-36.6,174.88,5.588377863,5.58837786295143,-4.85673723460422e-11,4.85673723460422e-11
118,49.5,8.17,349.2012828,349.201282835783,3.57831027031352e-08,3.57831027031352e-08
119,37.53,127.03,31.94391259,31.943912590533,5.3304205493987e-10,5.3304205493987e-10
120,42.52,8.77,5.473460469,5.47346046879583,-2.04170902406986e-10,2.04170902406986e-10
121,43.66,3.67,21.95455995,21.9545599538039,3.80392606302848e-09,3.80392606302848e-09
122,51.25,4.47,22.74702372,22.7470237210642,1.06423314605308e-09,1.06423314605308e-09
123,58.87,9.6,7.445825977,7.44582597661437,-3.85633747157499e-10,3.85633747157499e-10
124,33.52,130.03,0.930002842,0.930002841963603,-3.6396552438589e-11,3.6396552438589e-11
125,51.42,7.65,209.3453487,209.345348721998,2.19978346649441e-08,2.19978346649441e-08
126,42.67,141.6,12.04998832,12.0499883246693,4.66925875741708e-09,4.66925875741708e-09
127,40.02,122.93,39.50131593,39.5013159254726,-4.52742199286149e-09,4.52742199286149e-09
128,47.33,-2.87,21.77731399,21.7773139923533,2.35334596254688e-09,2.35334596254688e-09
129,51,-4,20.279081,20.27908099734,-2.6599735747368e-09,2.6599735747368e-09
130,35.7,-83.2,423.6535173,423.653517302236,2.23593588088988e-09,2.23593588088988e-09
131,-54.73,-68.2,9.823364436,9.82336443628263,2.82632584003295e-10,2.82632584003295e-10
132,-31.08,142.7,489.2477257,489.247725658402,-4.15977865486639e-08,4.15977865486639e-08
133,10.67,-85.5,18.24642366,18.2464236623473,2.34724950587406e-09,2.34724950587406e-09
134,9.12,-79.7,26.82096642,26.8209664203056,3.0557245622731e-10,3.0557245622731e-10
135,34.77,-98.48,650.4620584,650.462058430022,3.00216242976603e-08,3.00216242976603e-08
136,43,-119,423.316944,423.316944027196,2.71964495368593e-08,2.71964495368593e-08
137,-15.93,-47.93,864.107086,864.107086042233,4.223318228469e-08,4.223318228469e-08
138,38.57,-119.03,225.0841343,225.084134323181,2.31812293804978e-08,2.31812293804978e-08
139,43.16,-124.41,0.297458474,0.297458473663694,-3.36306094084193e-10,3.36306094084193e-10
140,53.33,22.67,202.8944188,202.894418798461,-1.53946189129783e-09,1.53946189129783e-09
141,47.17,-94.42,1063.686426,1063.68642636166,3.61662614523084e-07,3.61662614523084e-07
142,31.92,-109.25,369.0600121,369.060012143636,4.36363052358502e-08,4.36363052358502e-08
143,49.4,-110.7,860.0405678,860.040567785565,-1.44352725328645e-08,1.44352725328645e-08
144,8.2,-82.2,1.647603691,1.64760369131052,3.10522052515694e-10,3.10522052515694e-10
145,-31.9,115.98,22.86070029,22.8607002949462,4.94616259061331e-09,4.94616259061331e-09
146,-17.37,125.75,149.6635265,149.663526519149,1.91490698853158e-08,1.91490698853158e-08
147,-34.33,139.03,65.39990158,65.399901584336,4.33600177984772e-09,4.33600177984772e-09
